Year,Country,Mag,Depth(km),Deaths
2020,USA TERRITORY,6.4,10,4
2020,CHINA,6,6,1
2020,TURKEY,6.7,12,41
2020,CUBA,7.7,10,
2020,IRAN,6,10,10
2020,RUSSIA,7.5,57,
2020,GREECE,6.6,17,
2020,INDONESIA,6.4,107,
2020,NEW ZEALAND,7.4,10,
2020,MEXICO,7.4,26,10
2020,PAPUA NEW GUINEA,7,80,1
2020,USA,7.8,28,
2020,PHILIPPINES,6.6,10,1
2020,USA,7.6,33,
2020,TURKEY,7,21,117
2020,CHILE,6.7,10,
2020,CROATIA,6.4,10,7
2019,CHILE,6.7,53,2
2019,MEXICO,6.6,68,
2019,ECUADOR,7.5,132,1
2019,PERU,7,257,1
2019,INDONESIA,6.8,18,1
2019,TAIWAN,6.1,20,1
2019,PHILIPPINES,6.1,20,18
2019,PAPUA NEW GUINEA,7.2,127,
2019,PAPUA NEW GUINEA,7.6,10,
2019,PERU,8,110,2
2019,EL SALVADOR,6.6,58,1
2019,CHILE,6.4,11,
2019,NEW ZEALAND,7.2,34,
2019,JAPAN,6.4,12,
2019,USA,6.4,11,1
2019,USA,7.1,8,
2019,INDONESIA,7.3,10,8
2019,PHILIPPINES,6,10,9
2019,INDONESIA,6.9,53,6
2019,INDONESIA,6.5,18,31
2019,CHILE,6.1,129,1
2019,CHILE,6.8,11,1
2019,PHILIPPINES,6.4,14,7
2019,PHILIPPINES,6.6,15,12
2019,PHILIPPINES,6.5,10,9
2019,INDONESIA,7.1,33,1
2019,ALBANIA,6.4,20,51
2019,PHILIPPINES,6.8,22,13
2018,HONDURAS,7.5,19,
2018,PERU,7.1,38,2
2018,USA,7.9,14,
2018,AFGHANISTAN,6.2,194,2
2018,TAIWAN,6.4,11,17
2018,MEXICO,7.2,25,13
2018,PAPUA NEW GUINEA,7.5,23,145
2018,PAPUA NEW GUINEA,6.1,16,1
2018,PAPUA NEW GUINEA,6,10,11
2018,PAPUA NEW GUINEA,6.7,10,25
2018,PAPUA NEW GUINEA,6.3,10,4
2018,USA,6.9,5,
2018,AFGHANISTAN,6.2,112,
2018,INDONESIA,6.4,6,17
2018,INDONESIA,6.9,31,560
2018,FIJI,8.2,563,
2018,INDONESIA,6.3,8,2
2018,INDONESIA,6.9,26,10
2018,VENEZUELA,7.3,154,5
2018,IRAN,6,10,2
2018,NEW CALEDONIA,7.1,28,
2018,JAPAN,6.6,33,44
2018,FIJI,7.8,609,
2018,INDONESIA,7.5,10,4340
2018,INDONESIA,6,9,4
2018,NEW CALEDONIA,6.5,17,
2018,GREECE,6.8,14,
2018,IRAN,6.3,10,1
2018,USA,7,41,
2018,NEW CALEDONIA,7.5,10,
2017,FIJI,6.9,12,
2017,PAPUA NEW GUINEA,7.9,135,3
2017,PAKISTAN,6.3,29,
2017,PHILIPPINES,6.5,15,8
2017,IRAN,6.1,13,2
2017,CHILE,6.9,28,
2017,PHILIPPINES,6.9,26,
2017,CANADA,6.2,1,
2017,TAJIKISTAN,6,11,
2017,INDONESIA,6.6,12,
2017,GREECE,6.3,12,1
2017,GUATEMALA,6.9,93,5
2017,GUATEMALA,6.8,38,
2017,PHILIPPINES,6.5,11,4
2017,RUSSIA,7.7,10,
2017,PERU,6.4,44,1
2017,TURKEY,6.6,7,2
2017,CHINA,6.5,9,29
2017,CHINA,6.3,20,
2017,MEXICO,8.2,46,98
2017,MEXICO,7.1,39,369
2017,MEXICO,6.1,10,5
2017,NEW CALEDONIA,6.7,24,
2017,INDONESIA,6.1,6,1
2017,NEW CALEDONIA,6.6,22,
2017,IRAN,7.3,19,630
2017,COSTA RICA,6.5,19,2
2017,CHINA,6.4,8,
2017,NEW CALEDONIA,6.3,14,
2017,NEW CALEDONIA,6.6,13,
2017,NEW CALEDONIA,7,10,
2017,IRAN,6.1,9,
2017,INDONESIA,6.5,90,4
2016,INDIA,6.7,55,13
2016,USA,7.1,126,
2016,MOROCCO,6.3,12,1
2016,TAIWAN,6.4,10,117
2016,INDONESIA,7.8,24,
2016,AFGHANISTAN,6.6,212,6
2016,MYANMAR (BURMA),6.9,136,2
2016,JAPAN,7,10,50
2016,ECUADOR,7.8,17,663
2016,VANUATU,7,24,
2016,ECUADOR,6.9,30,1
2016,INDONESIA,6.6,50,1
2016,INDONESIA,6.3,31,
2016,USA TERRITORY,7.7,196,
2016,NEW CALEDONIA,7.2,16,
2016,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,7.4,10,
2016,JAPAN,6,10,
2016,ITALY,6.2,4,299
2016,MYANMAR (BURMA),6.8,82,4
2016,NEW ZEALAND,7,19,
2016,JAPAN,6.2,6,
2016,ITALY,6.1,10,1
2016,ITALY,6.6,9,2
2016,NEW ZEALAND,7.8,15,2
2016,JAPAN,6.9,9,
2016,NICARAGUA,6.9,33,
2016,CHINA,6.6,17,1
2016,PERU,6.2,10,1
2016,INDONESIA,6.5,13,104
2016,CHINA,6,18,1
2016,SOLOMON ISLANDS,7.8,40,1
2016,SOLOMON ISLANDS,6.9,20,
2016,PAPUA NEW GUINEA,7.9,95,
2016,CHILE,7.6,30,
2015,JAPAN,6.7,23,
2015,VANUATU,6.4,10,
2015,COLOMBIA,6.2,184,
2015,PAPUA NEW GUINEA,7.5,41,
2015,TAIWAN,6.4,29,1
2015,NEPAL,7.8,8,8200
2015,PAPUA NEW GUINEA,7.5,55,
2015,NEPAL,7.3,15,117
2015,JAPAN,7.8,664,
2015,MALAYSIA,6,10,18
2015,CHINA,6.4,10,3
2015,PHILIPPINES,6.1,32,1
2015,SOLOMON ISLANDS,6.7,12,
2015,SOLOMON ISLANDS,7,11,
2015,USA,6.9,23,
2015,INDONESIA,7,48,1
2015,CHILE,8.3,22,7
2015,INDONESIA,6.6,10,
2015,AFGHANISTAN,7.5,231,399
2015,INDONESIA,6.5,20,
2015,CHILE,6.9,10,
2015,JAPAN,6.7,12,
2015,GREECE,6.5,11,2
2015,SOLOMON ISLANDS,6.8,13,
2015,PERU,7.6,636,
2015,PERU,7.6,606,
2015,TAJIKISTAN,7.2,22,2
2015,MEXICO,6.6,85,2
2015,AFGHANISTAN,6.3,206,4
2014,USA TERRITORY,6.4,20,
2014,NEW ZEALAND,6.1,28,
2014,INDONESIA,6.1,66,
2014,GREECE,6.1,8,
2014,GREECE,6,4,
2014,CHINA,6.9,10,
2014,JAPAN,6.3,79,
2014,CHILE,6.7,21,
2014,CHILE,8.2,25,7
2014,CHILE,7.7,22,
2014,NICARAGUA,6.1,13,2
2014,PAPUA NEW GUINEA,7.1,61,1
2014,SOLOMON ISLANDS,7.6,23,
2014,SOLOMON ISLANDS,7.4,39,
2014,MEXICO,7.2,24,
2014,PAPUA NEW GUINEA,7.5,43,
2014,THAILAND,6.1,6,1
2014,MEXICO,6.4,17,
2014,GREECE,6.9,23,3
2014,NEW ZEALAND,6.9,20,
2014,USA,7.9,109,
2014,MEXICO,6.9,67,3
2014,JAPAN,6.5,20,
2014,USA,6.1,10,
2014,MEXICO,6.3,107,1
2014,CHINA,6.2,12,615
2014,IRAN,6.2,6,
2014,USA,6.1,11,1
2014,CHINA,6.1,9,1
2014,CHILE,7,17,
2014,EL SALVADOR,7.3,40,1
2014,INDONESIA,7.1,45,
2014,JAPAN,6.2,9,
2013,USA,7.5,10,
2013,INDONESIA,6.1,12,1
2013,SOLOMON ISLANDS,7.9,24,
2013,SOLOMON ISLANDS,7,21,
2013,COLOMBIA,7,145,
2013,TAIWAN,6,19,1
2013,IRAN,6.3,12,37
2013,IRAN,7.7,80,40
2013,RUSSIA,7.2,110,
2013,CHINA,6.6,14,196
2013,MEXICO,6,30,
2013,IRAN,6.1,15,2
2013,RUSSIA,8.3,598,
2013,TAIWAN,6.3,17,4
2013,INDONESIA,6.1,13,42
2013,NEW ZEALAND,6.5,17,
2013,CHINA,6,8,94
2013,NEW ZEALAND,6.5,12,
2013,MEXICO,6.2,21,
2013,GUATEMALA,6.4,66,1
2013,PAKISTAN,7.7,15,825
2013,PERU,7.1,31,
2013,PAKISTAN,6.8,12,22
2013,GREECE,6.6,40,
2013,PHILIPPINES,7.1,19,222
2013,JAPAN,7.1,10,
2013,ANTARCTICA,7.7,10,
2012,PERU,6.4,43,
2012,VANUATU,7,23,
2012,PHILIPPINES,6.7,11,51
2012,VANUATU,6.7,16,
2012,JAPAN,6.9,12,
2012,MEXICO,7.4,20,2
2012,CHILE,7.2,41,1
2012,INDONESIA,8.6,20,10
2012,INDONESIA,8.2,25,
2012,VANUATU,6.3,11,
2012,CHILE,6.7,29,2
2012,CHILE,6.3,10,
2012,ITALY,6.1,6,7
2012,TURKEY,6.1,35,
2012,CHINA,6.3,18,
2012,INDONESIA,6.5,22,1
2012,SOLOMON ISLANDS,6.4,20,
2012,IRAN,6.5,11,306
2012,RUSSIA,7.7,583,
2012,INDONESIA,6.3,10,6
2012,NICARAGUA,7.3,28,
2012,PHILIPPINES,7.6,28,1
2012,COSTA RICA,7.6,35,2
2012,CANADA,7.7,14,
2012,GUATEMALA,7.3,24,48
2012,MYANMAR (BURMA),6.8,14,26
2012,JAPAN,7.2,31,
2011,VANUATU,6.5,24,
2011,PAKISTAN,7.2,68,3
2011,MYANMAR (BURMA),6.3,85,1
2011,CHILE,6.8,28,
2011,NEW ZEALAND,6.1,6,181
2011,JAPAN,7.5,32,
2011,JAPAN,9.1,30,1475
2011,JAPAN,7.9,43,
2011,JAPAN,7.6,19,
2011,MYANMAR (BURMA),6.8,8,75
2011,JAPAN,7.1,42,3
2011,JAPAN,6.6,11,7
2011,INDONESIA,6.1,8,
2011,NEW CALEDONIA,6.8,11,
2011,NEW ZEALAND,6,6,1
2011,USA,7.3,52,
2011,KERMADEC ISLANDS (NEW ZEALAND),7.6,17,
2011,JAPAN,7,23,
2011,UZBEKISTAN,6.1,20,14
2011,VANUATU,7.1,32,
2011,VANUATU,7,28,
2011,USA,6.8,32,
2011,INDONESIA,6.7,91,10
2011,INDIA,6.9,50,111
2011,KERMADEC ISLANDS (NEW ZEALAND),7.4,33,
2011,TURKEY,7.1,16,604
2011,PERU,6.9,24,1
2011,MEXICO,6.4,54,2
2011,RUSSIA,6.7,15,
2010,SOLOMON ISLANDS,6.6,26,
2010,SOLOMON ISLANDS,7.1,25,
2010,SOLOMON ISLANDS,6.8,15,
